model,family,test_r2,test_mse,test_mae
all-MiniLM-L6-v2 | hybrid,transformer,0.708598514163572,0.008058241568505764,0.06683392822742462
all-MiniLM-L6-v2 | text-only,transformer,0.7074620790870799,0.008089667186141014,0.06654732674360275
all-MiniLM-L6-v2 | hybrid,transformer,0.7001311180915507,0.008292393758893013,0.06764116138219833
all-MiniLM-L6-v2 | hybrid,transformer,0.6953070634678044,0.00842579547315836,0.06734607368707657
Hybrid BiLSTM (DOLMA-backed),historical,0.6679,0.009184,0.074484
Hybrid TF-IDF + structured,historical,0.5256,0.0131,
Combined TF-IDF,historical,0.4938,0.014,
Separate TF-IDF,historical,0.4792,0.0144,
Plain LSTM (DOLMA-backed),historical,0.291,0.0196,0.111
Structured only,historical,0.0939,0.0251,
